Date,Price,Open,High,Low,Vol.,Change %
8/11/2015,48.0,48.0,48.9,48.0,9.69K,2.13%
8/12/2015,48.0,48.8,48.8,47.2,7.33K,0.00%
8/13/2015,47.9,48.0,48.0,47.0,6.11K,-0.21%
8/14/2015,47.5,48.0,49.0,46.9,15.52K,-0.84%
8/17/2015,49.0,47.5,49.0,47.5,3.87K,3.16%
8/18/2015,47.5,48.9,49.0,47.3,6.16K,-3.06%
8/19/2015,48.0,47.5,48.0,47.5,2.49K,1.05%
8/20/2015,48.0,48.9,48.9,47.2,18.14K,0.00%
8/21/2015,46.9,49.0,49.0,46.9,3.77K,-2.29%
8/24/2015,46.5,47.0,47.0,45.9,4.82K,-0.85%
8/25/2015,47.0,48.8,48.8,46.0,0.34K,1.08%
8/26/2015,47.8,47.0,47.8,46.0,4.02K,1.70%
8/27/2015,47.9,46.4,47.9,46.0,7.76K,0.21%
8/28/2015,49.0,48.8,49.0,46.3,1.71K,2.30%
8/31/2015,48.1,49.0,49.0,46.3,8.42K,-1.84%
9/1/2015,48.8,48.9,48.9,48.8,0.10K,1.46%
9/2/2015,48.0,48.0,48.0,46.0,7.40K,-1.64%
9/3/2015,47.9,47.0,47.9,45.9,5.30K,-0.21%
9/4/2015,46.0,47.9,47.9,46.0,1.22K,-3.97%
9/7/2015,47.0,47.8,47.8,47.0,0.11K,2.17%
9/8/2015,47.0,47.4,47.8,47.0,12.85K,0.00%
9/9/2015,48.0,47.0,48.0,46.1,9.70K,2.13%
9/10/2015,47.0,47.5,47.5,46.9,8.03K,-2.08%
9/11/2015,46.5,47.0,47.5,46.5,3.39K,-1.06%
9/14/2015,46.9,46.1,47.0,46.1,5.27K,0.86%
9/15/2015,48.0,47.0,48.0,46.5,21.09K,2.35%
9/16/2015,48.0,48.0,48.0,46.6,7.55K,0.00%
9/17/2015,48.9,48.0,48.9,47.5,12.83K,1.88%
9/18/2015,49.4,48.8,49.8,46.8,10.73K,1.02%
9/21/2015,49.3,49.2,49.5,47.1,2.10K,-0.20%
9/22/2015,49.3,47.1,49.4,47.1,23.20K,0.00%
9/23/2015,49.0,49.4,49.4,48.8,9.90K,-0.61%
9/25/2015,49.3,49.5,49.5,48.9,10.89K,0.61%
9/28/2015,48.9,49.1,49.3,47.6,10.80K,-0.81%
9/29/2015,48.9,49.0,49.0,48.9,0.13K,0.00%
